Fecha;Temperatura_Media
2023-08-09;31,523338
2023-08-10;30,423332
2023-08-11;30,604584
2023-08-12;30,117083
2023-08-13;28,550415
2023-08-14;28,177498
2023-08-15;28,23792
2023-08-16;28,090002
2023-08-17;27,646254
2023-08-18;28,37958
2023-08-19;30,087915
2023-08-20;32,03792
2023-08-21;32,34
2023-08-22;31,817083
2023-08-23;31,39
2023-08-24;31,112917
2023-08-25;27,442087
2023-08-26;20,744167
2023-08-27;20,812918
2023-08-28;21,906668
2023-08-29;22,210836
2023-08-30;23,950418
2023-08-31;25,112917
2023-09-01;19,223333
2023-09-02;18,060835
2023-09-03;19,487915
2023-09-04;20,471249
2023-09-05;21,525415
2023-09-06;22,735832
2023-09-07;22,4525
2023-09-08;21,469168
2023-09-09;20,881666
2023-09-10;19,806665
2023-09-11;19,558748
2023-09-12;20,385832
2023-09-13;20,431665
2023-09-14;19,821249
2023-09-15;18,456667
2023-09-16;17,196249
2023-09-17;16,404583
2023-09-18;16,931667
2023-09-19;17,567085
2023-09-20;15,8358345
2023-09-21;15,237915
2023-09-22;15,081668
2023-09-23;17,07125
2023-09-24;19,05667
2023-09-25;19,994165
2023-09-26;20,027502
2023-09-27;20,779583
2023-09-28;22,152504
2023-09-29;22,000418
2023-09-30;22,331667
2023-10-01;21,512918
2023-10-02;21,442085
2023-10-03;21,292086
2023-10-04;21,964998
2023-10-05;21,819168
2023-10-06;21,156666
2023-10-07;21,19625
2023-10-08;20,762918
2023-10-09;19,279583
2023-10-10;18,785835
2023-10-11;19,429583
2023-10-12;19,139997
2023-10-13;17,4025
2023-10-14;16,808752
2023-10-15;17,169165
2023-10-16;19,00875
2023-10-17;17,294168
2023-10-18;15,062919
2023-10-19;12,517085
2023-10-20;10,800416
2023-10-21;11,185834
2023-10-22;11,985833
2023-10-23;11,2025
2023-10-24;14,396251
2023-10-25;15,702502
2023-10-26;12,333749
2023-10-27;13,535834
2023-10-28;13,671252
2023-10-29;11,944167
2023-10-30;9,317083
2023-10-31;11,706666
2023-11-01;12,675416
2023-11-02;9,452499
2023-11-03;11,827499
2023-11-04;10,219166
2023-11-05;8,214999
2023-11-06;6,6629167
2023-11-07;7,93375
2023-11-08;11,302501
2023-11-09;10,719167
2023-11-10;14,031667
2023-11-11;14,562916
2023-11-12;14,787917
2023-11-13;12,167083
2023-11-14;11,333751
2023-11-15;11,942082
2023-11-16;11,8879175
2023-11-17;11,177502
2023-11-18;11,069167
2023-11-19;10,367083
2023-11-20;9,108749
2023-11-21;9,373333
2023-11-22;7,515001
2023-11-23;6,5400004
2023-11-24;7,7587504
2023-11-25;7,3254166
2023-11-26;7,694166
2023-11-27;9,569167
2023-11-28;12,427501
2023-11-29;13,310834
2023-11-30;8,823334
2023-12-01;6,19
2023-12-02;3,9108334
2023-12-03;6,6941676
2023-12-04;5,650416
2023-12-05;5,6025004
2023-12-06;5,975416
2023-12-07;8,65875
2023-12-08;8,621249
2023-12-09;10,937916
2023-12-10;10,179584
2023-12-11;9,569166
2023-12-12;9,500417
2023-12-13;6,281666
2023-12-14;7,99
2023-12-15;4,931667
2023-12-16;3,675417
2023-12-17;3,487917
2023-12-18;3,0795832
2023-12-19;4,7816663
2023-12-20;5,579584
2023-12-21;5,4795833
2023-12-22;4,9066668
2023-12-23;4,4170833
2023-12-24;2,7024996
2023-12-25;1,5525001
2023-12-26;3,0191667
2023-12-27;2,4254167
2023-12-28;3,3629167
2023-12-29;4,0379167
2023-12-30;6,7899995
2023-12-31;4,8275
2024-01-01;5,5733337
2024-01-02;10,489999
2024-01-03;9,2525
2024-01-04;6,3649993
2024-01-05;5,212917
2024-01-06;3,456667
2024-01-07;1,9629169
2024-01-08;4,969167
2024-01-09;5,04
2024-01-10;3,74625
2024-01-11;1,8462502
2024-01-12;3,7712505
2024-01-13;6,342083
2024-01-14;11,362916
2024-01-15;12,74625
2024-01-16;11,083751
2024-01-17;11,012917
2024-01-18;6,967083
2024-01-19;5,615
2024-01-20;5,585833
2024-01-21;5,212917
2024-01-22;6,537916
2024-01-23;9,019166
2024-01-24;9,381665
2024-01-25;10,212916
2024-01-26;9,908751
2024-01-27;9,000417
2024-01-28;9,010833
2024-01-29;7,7004166
2024-01-30;6,27125
2024-01-31;8,971251
2024-02-01;8,312917
2024-02-02;7,8587494
2024-02-03;8,079583
2024-02-04;7,206667
2024-02-05;8,606666
2024-02-06;7,85875
2024-02-07;9,381666
2024-02-08;9,604583
2024-02-09;7,131666
